"","country","date","continent","population","vaccines","total_vaccinations_per_hundred","value","n_tweets"
"214","Albania",2021-03-07,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.67,0,1
"215","Albania",2021-03-08,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.7,0,1
"216","Albania",2021-03-09,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.73,0,1
"217","Albania",2021-03-10,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.75,0,1
"218","Albania",2021-03-11,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.78,0,1
"219","Albania",2021-03-12,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.82,0,1
"220","Albania",2021-03-13,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.86,0,1
"221","Albania",2021-03-14,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.9,0,1
"222","Albania",2021-03-15,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.95,0,1
"223","Albania",2021-03-16,"Europe",2877239,"Pfizer/BioNTech, Sinovac",1,0,1
"224","Albania",2021-03-17,"Europe",2877239,"Pfizer/BioNTech, Sinovac",1.16,0,1
"225","Albania",2021-03-18,"Europe",2877239,"Pfizer/BioNTech, Sinovac",1.23,0,1
"226","Albania",2021-03-19,"Europe",2877239,"Pfizer/BioNTech, Sinovac",1.31,0,1
"227","Albania",2021-03-20,"Europe",2877239,"Pfizer/BioNTech, Sinovac",1.39,0,1
"228","Albania",2021-03-21,"Europe",2877239,"Pfizer/BioNTech, Sinovac",1.48,0,1
"229","Albania",2021-03-22,"Europe",2877239,"Pfizer/BioNTech, Sinovac",1.68,1.5,2
"230","Albania",2021-03-23,"Europe",2877239,"Pfizer/BioNTech, Sinovac",1.8,1,1
"231","Albania",2021-03-24,"Europe",2877239,"Pfizer/BioNTech, Sinovac",1.88,0,1
"232","Albania",2021-03-25,"Europe",2877239,"Pfizer/BioNTech, Sinovac",2.06,0,4
"233","Albania",2021-03-26,"Europe",2877239,"Pfizer/BioNTech, Sinovac",2.16,0,1
"234","Albania",2021-03-27,"Europe",2877239,"Pfizer/BioNTech, Sinovac",2.23,0,1
"235","Albania",2021-03-28,"Europe",2877239,"Pfizer/BioNTech, Sinovac",2.71,0,2
"236","Albania",2021-03-29,"Europe",2877239,"Pfizer/BioNTech, Sinovac",2.96,0,1
"237","Albania",2021-03-30,"Europe",2877239,"Pfizer/BioNTech, Sinovac",4.15,0,1
"238","Albania",2021-03-31,"Europe",2877239,"Pfizer/BioNTech, Sinovac",4.83,0,1
"239","Albania",2021-04-01,"Europe",2877239,"Pfizer/BioNTech, Sinovac",5.4,0,1
"240","Albania",2021-04-02,"Europe",2877239,"Pfizer/BioNTech, Sinovac",5.99,0,1
"241","Albania",2021-04-03,"Europe",2877239,"Pfizer/BioNTech, Sinovac",6.45,0,1
"242","Albania",2021-04-04,"Europe",2877239,"Pfizer/BioNTech, Sinovac",6.7,0,1
"243","Albania",2021-04-05,"Europe",2877239,"Pfizer/BioNTech, Sinovac",7.18,-0.5,2
"244","Albania",2021-04-06,"Europe",2877239,"Pfizer/BioNTech, Sinovac",7.7,0,1
"245","Albania",2021-04-07,"Europe",2877239,"Pfizer/BioNTech, Sinovac",8.08,0,1
"246","Albania",2021-04-08,"Europe",2877239,"Pfizer/BioNTech, Sinovac",8.43,0,1
"247","Albania",2021-04-09,"Europe",2877239,"Pfizer/BioNTech, Sinovac",8.71,0,1
"248","Albania",2021-04-10,"Europe",2877239,"Pfizer/BioNTech, Sinovac",8.93,0,1
"249","Albania",2021-04-11,"Europe",2877239,"Pfizer/BioNTech, Sinovac",9.27,0,1
"250","Albania",2021-04-12,"Europe",2877239,"Pfizer/BioNTech, Sinovac",9.3,-1,2
"251","Albania",2021-04-13,"Europe",2877239,"Pfizer/BioNTech, Sinovac",9.77,1,1
"252","Albania",2021-04-14,"Europe",2877239,"Pfizer/BioNTech, Sinovac",10.07,0,1
"253","Albania",2021-04-15,"Europe",2877239,"Pfizer/BioNTech, Sinovac",10.58,0,1
"254","Albania",2021-04-16,"Europe",2877239,"Pfizer/BioNTech, Sinovac",10.93,0,1
"255","Albania",2021-04-17,"Europe",2877239,"Pfizer/BioNTech, Sinovac",11.29,0,1
"256","Albania",2021-04-18,"Europe",2877239,"Pfizer/BioNTech, Sinovac",11.57,0,1
"257","Albania",2021-04-19,"Europe",2877239,"Pfizer/BioNTech, Sinovac",12.02,0,1
"258","Albania",2021-04-20,"Europe",2877239,"Pfizer/BioNTech, Sinovac",12.16,0,1
"259","Albania",2021-04-21,"Europe",2877239,"Pfizer/BioNTech, Sinovac",12.93,0,1
"260","Albania",2021-04-22,"Europe",2877239,"Pfizer/BioNTech, Sinovac",13.31,0,1
"261","Algeria",2020-12-14,"Africa",43984569,"Sputnik V",0,0,1
"262","Algeria",2020-12-15,"Africa",43984569,"Sputnik V",0,0,1
"263","Algeria",2020-12-16,"Africa",43984569,"Sputnik V",0,0,1
"264","Algeria",2020-12-17,"Africa",43984569,"Sputnik V",0,0,1
"265","Algeria",2020-12-18,"Africa",43984569,"Sputnik V",0,0,1
"266","Algeria",2020-12-19,"Africa",43984569,"Sputnik V",0,0,1
"267","Algeria",2020-12-20,"Africa",43984569,"Sputnik V",0,0,1
"268","Algeria",2020-12-21,"Africa",43984569,"Sputnik V",0,0,1
"269","Algeria",2020-12-22,"Africa",43984569,"Sputnik V",0,0,1
"270","Algeria",2020-12-23,"Africa",43984569,"Sputnik V",0,0,1
"271","Algeria",2020-12-24,"Africa",43984569,"Sputnik V",0,0,1
